url,name,image,price
/vp/products/6257069876?itemId=12717947007&vendorItemId=79984655336&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13 + 플래티넘 타입커버, 블랙, 코어i7, 256GB, 16GB, WIN11 Home, 8PV-00030
",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754430145921522-896142a1-afa1-4c1b-9819-28c1995717e3.jpg,"2,191,000"
/vp/products/6257069941?itemId=12717947523&vendorItemId=79984655835&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13 + 블랙 타입커버, 코어i7, 512GB, 16GB, WIN11 Home, 8PX-00030
",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754396085502057-7209abcf-ee85-4772-859a-0327d0283c97.jpg,"2,551,000"
/vp/products/6257069941?itemId=12717947525&vendorItemId=79984655845&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13 + 블랙 타입커버, 코어i5, 256GB, 16GB, WIN11 Home, 8PT-00030
",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13204567431387961-c4097ba9-a191-41e2-91c2-636ced3ee3fa.jpg,"1,948,000"
/vp/products/6258261373?itemId=12727384726&vendorItemId=79993988567&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13, 블랙, 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00030
",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/12/27/11/7/23e3daa3-6f16-453d-b2e2-8de5b386392f.jpg,"1,482,000"
/vp/products/6257069876?itemId=12717947002&vendorItemId=79984655297&sourceType=CATEGORY&categoryId=497035,"
    마이크로소프트 2022 Surface Pro8 13 + 플래티넘 타입커버, 블랙, 코어i7, 512GB, 16GB, WIN11 Home, 8PX-00030
",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754292854385255-3b02ed95-5e80-45ed-963b-d0bf475cff34.jpg,"2,551,000"
/vp/products/6260530193?itemId=12744365252&vendorItemId=80010714877&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버 + 슬림펜 2, 블랙(Surface Pro8, 슬림펜 2), 플래티넘(타입커버), 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00030(Surface Pro), 8X6-00077(타입커버)
",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754408986808728-b06c4d32-9440-4762-943c-9877cc9f1afd.jpg,"1,828,000"
/vp/products/6260530178?itemId=12744365157&vendorItemId=80010714746&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버, 플래티넘(Surface Pro8, 타입커버), 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00014(Surface Pro), 8XA-00077(타입커버)
",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754344720770781-16866698-e793-481d-92ab-21084a583356.jpg,"1,708,000"
/vp/products/6260530178?itemId=12744365161&vendorItemId=80010714768&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버, 블랙(Surface Pro8, 타입커버), 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00030(Surface Pro), 8XA-00017(타입커버)
",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754435693092719-09a14ecf-a81a-4f0f-9e99-5d2647e56583.jpg,"1,708,000"
/vp/products/6260530178?itemId=12744365163&vendorItemId=80010714777&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버, 블랙(Surface Pro8), 플래티넘(타입커버), 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00030(Surface Pro), 8XA-00077(타입커버)
",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754225035529979-c3935e5f-f0d1-497b-947f-af427eede662.jpg,"1,708,000"
/vp/products/6260530193?itemId=12744365246&vendorItemId=80010714844&sourceType=CATEGORY&categoryId=497035,"
    2022 마이크로소프트 Surface Pro8 13 + 타입커버 + 슬림펜 2, 플래티넘(Surface Pro8), 블랙(타입커버, 슬림펜2), 코어i5, 256GB, 8GB, WIN11 Home, 8PQ-00014(Surface Pro), 8X6-00017(타입커버)
",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13754477375674885-5c788f4a-baa8-4880-ad51-9ca568cc6d9f.jpg,"1,828,000"
